問題,ジャンル,音楽,ヒント,答え
問題1,10年代J-POP,../../../../audio/友～旅立ちの時～.mp3,2013年9月18日に発売。NHK全国音楽コンクール・中学校の音楽課題曲となった。,ゆず 友 ~旅立ちの時~
問題2,10年代J-POP,../../../../audio/表裏一体.mp3,2013年12月25日にリリース。劇場版 HUNTER×HUNTER―The LAST MISSION―の主題歌。,ゆず 表裏一体
問題3,90年代J-POP,../../../../audio/夏色.mp3,1998年6月3年に発売。〇〇のメジャーデビューシングル,ゆず 夏色
問題4,10年代J-POP,../../../../audio/雨のち晴レルヤ.mp3,2013年11月13日に発売。NHK連続テレビ小説『ごちそうさん』の主題歌。,ゆず 雨のち晴レルヤ
問題5,10年代J-POP,../../../../audio/ひだまり.mp3,2014年2月19日に発売。ヨコハマタイヤのCMソングとして使用された。,ゆず ひだまり
問題6,90年代J-POP,../../../../audio/いつか.mp3,1999年1月20日に発売。冬に聞きたい名曲ランキングにランクインしたことがある。,ゆず いつか
問題7,10年代J-POP,../../../../audio/REASON.mp3,2013年1月9日に発売。『劇場版 HUNTER×HUNTER 緋色の幻影』主題歌となった。,ゆず REASON
問題8,10年代J-POP,../../../../audio/LOVE&PEACH.mp3,2011年7月20日に発売。フジテレビ主催の夏休みイベント「お台場合衆国2011〜ぼくらがNIPPON応援団!〜」テーマソング,ゆず LOVE&PEACH
問題9,10年代J-POP,../../../../audio/LAND,2013年5月1日に発売。キャッチコピーは「ベストアルバムを超えたオリジナルアルバム、誕生。」,ゆず LAND
問題10,00年代J-POP,../../../../audio/アゲハ蝶.mp3,エフティ資生堂「ティセラ・トコナッツココナッツ」CMソング ライブでは手拍子と「ラララ」の合唱によって会場が一体となる定番曲,ポルノグラフィティ アゲハ蝶
問題11,90年代J-POP,../../../../audio/アポロ.mp3,TBSの討論 バラエティー番組「ここがヘンだよ日本人」のエンディングテーマ,ポルノグラフィティ アポロ
問題12,00年代J-POP,../../../../audio/サウタージ.mp3,初出場となった『第51回NHK紅白歌合戦』では本楽曲を披露　『THE FIRST TAKE』第148回（2021年9月3日公開）では、「一番求められているだろう楽曲」として本楽曲の特別アレンジを披露,ポルノグラフィティ サウダージ
問題13,00年代J-POP,../../../../audio/ミュージック・アワー.mp3,大塚製薬「ポカリスエット」2000年度CMソング ライブではサビで手を左右上下に交互に動かす踊りがお馴染みの定番曲の一つ,ポルノグラフィティ ミュージック・アワー
問題14,00年代J-POP,../../../../audio/メリッサ.mp3,アニメ『鋼の錬金術師』のオープニングテーマ オリコンチャートでの登場回数は自己最高となる38週を記録,ポルノグラフィティ メリッサ
問題15,10年代J-POP,../../../../audio/talking.mp3,フジテレビ系アニメ『すべてがFになる THE PERFECT INSIDER』の主題歌,KANA-BOON talking
問題16,10年代J-POP,../../../../audio/ないものねだり.mp3,資生堂「ANESSA」コマーシャルソングに起用,KANA-BOON ないものねだり
問題17,10年代J-POP,../../../../audio/シルエット.mp3,テレビ東京系アニメ『NARUTO -ナルト- 疾風伝』の16代目オープニングテーマ,KANA-BOON シルエット
問題18,10年代J-POP,../../../../audio/ピースサイン.mp3,読売テレビ系列アニメ『僕のヒーローアカデミア』の第2期第1クールオープニングテーマ,米津玄師 ピースサイン
問題19,10年代J-POP,../../../../audio/GO.mp3,テレビアニメ『GRANBLUE FANTASY The Animation』にオープニングテーマとして提供,BUNP OF CHICHEN GO
問題20,10年代J-POP,../../../../audio/Hello,world.mp3,テレビアニメ『血界戦線』の第1期オープニングテーマ,BUNP OF CHICHEN Hello,world
問題21,00年代J-POP,../../../../audio/K.mp3,2000年代にFlashアニメとして流行 ローマ字1文字の曲,BUNP OF CHICHEN K
問題22,10年代J-POP,../../../../audio/ray.mp3,初音ミクとのコラボレーション楽曲,BUNP OF CHICHEN ray
問題23,00年代J-POP,../../../../audio/才悩人応援歌.mp3,才能がないことに悩む人＝『才悩人』を応援する歌,BUNP OF CHICHEN 才悩人応援歌
問題24,10年代J-POP,../../../../audio/Cheers.mp3,テレビアニメ『はたらく細胞』のエンディングテーマ,ClariS Cheers
問題25,10年代J-POP,../../../../audio/カラフル.mp3,アニメーション映画『劇場版 魔法少女まどか☆マギカ[新編]叛逆の物語』オープニングテーマ,ClariS カラフル
問題26,10年代J-POP,../../../../audio/コネクト.mp3,テレビアニメ『魔法少女まどか☆マギカ』オープニングテーマ 最近ではMAD動画でも話題に,ClariS コネクト
問題27,10年代J-POP,../../../../audio/シュガーソングとビターステップ.mp3,UHFアニメ『血界戦線』エンディングテーマ,UNISON SQUARE GARDEN シュガーソングとビターステップ
問題28,Vocaloid,../../../../audio/ダンスロボットダンス.mp3,スマホゲーム『#コンパス 戦闘摂理解析システム』に登場するキャラクター「Voidoll」のテーマソング,ナユタン星人 ダンスロボットダンス
問題29,Vocaloid,../../../../audio/アスノヨゾラ哨戒班.mp3,Youtubeでは4927万回再生 ニコニコ動画では2021年に1000万回再生を記録している,Orangester アスノヨゾラ哨戒班
問題30,Vocaloid,../../../../audio/シャルル.mp3,JOYSOUNDによる2017年発売曲カラオケ総合ランキングで1位を獲得,バルーン シャルル
