問題,ジャンル,音楽,ヒント,答え
問題1,20年代J-POP,../../../../audio/アイドル.mp3,テレビアニメ『【推しの子】』のオープニングテーマとなっている。,YOASOBI アイドル
問題2,20年代J-POP,../../../../audio/ミックスナッツ.mp3,「SPYxFAMILY」の原作ファンだったといい、レコーディング中に「この漫画がもしアニメになったらやばい」という雑談を聞いた。,Official髭男dism ミックスナッツ
問題3,20年代J-POP,../../../../audio/新時代.mp3,映画『ONE PIECE FILM RED』の主題歌,ado 新時代
問題4,20年代J-POP,../../../../audio/ダンスホール.mp3,楽曲はフジテレビ系列の朝の情報番組『めざまし8』の新テーマ曲に起用された,Mrs.GREEN APPLE ダンスホール
問題5,90年代J-POP,../../../../audio/夏色.mp3,1998年6月3年に発売。〇〇のメジャーデビューシングル,ゆず 夏色
問題6,90年代J-POP,../../../../audio/いつか.mp3,1999年1月20日に発売。冬に聞きたい名曲ランキングにランクインしたことがある。,ゆず いつか
問題7,90年代J-POP,../../../../audio/アポロ.mp3,TBSの討論 バラエティー番組「ここがヘンだよ日本人」のエンディングテーマ,ポルノグラフィティ アポロ
問題8,90年代J-POP,../../../../audio/夢.mp3,2007年、NTT東日本のBフレッツのCMソングにこの曲の替え歌が使われていた。,the blue hearts 夢
問題9,90年代J-POP,../../../../audio/A・RA・SHI.mp3,デビュー日である2020年11月3日、嵐と13の賛同企業により同年9月に始動した共同プロジェクトのテレビCMにも使われた。,嵐 A・RA・SHI
問題10,10年代J-POP,../../../../audio/友～旅立ちの時～.mp3,2013年9月18日に発売。NHK全国音楽コンクール・中学校の音楽課題曲となった。,ゆず 友 ~旅立ちの時~
問題11,10年代J-POP,../../../../audio/表裏一体.mp3,2013年12月25日にリリース。劇場版 HUNTER×HUNTER―The LAST MISSION―の主題歌。,ゆず 表裏一体
問題12,10年代J-POP,../../../../audio/雨のち晴レルヤ.mp3,2013年11月13日に発売。NHK連続テレビ小説『ごちそうさん』の主題歌。,ゆず 雨のち晴レルヤ
問題13,10年代J-POP,../../../../audio/ひだまり.mp3,2014年2月19日に発売。ヨコハマタイヤのCMソングとして使用された。,ゆず ひだまり
問題14,10年代J-POP,../../../../audio/REASON.mp3,2013年1月9日に発売。『劇場版 HUNTER×HUNTER 緋色の幻影』主題歌となった。,ゆず REASON
問題15,10年代J-POP,../../../../audio/LOVE&PEACH.mp3,2011年7月20日に発売。フジテレビ主催の夏休みイベント「お台場合衆国2011〜ぼくらがNIPPON応援団!〜」テーマソング,ゆず LOVE&PEACH
問題16,10年代J-POP,../../../../audio/LAND.mp3,2013年5月1日に発売。キャッチコピーは「ベストアルバムを超えたオリジナルアルバム、誕生。」,ゆず LAND
問題17,10年代J-POP,../../../../audio/talking.mp3,フジテレビ系アニメ『すべてがFになる THE PERFECT INSIDER』の主題歌,KANA-BOON talking
問題18,10年代J-POP,../../../../audio/ないものねだり.mp3,資生堂「ANESSA」コマーシャルソングに起用,KANA-BOON ないものねだり
問題19,10年代J-POP,../../../../audio/シルエット.mp3,テレビ東京系アニメ『NARUTO -ナルト- 疾風伝』の16代目オープニングテーマ,KANA-BOON シルエット
問題20,10年代J-POP,../../../../audio/ピースサイン.mp3,読売テレビ系列アニメ『僕のヒーローアカデミア』の第2期第1クールオープニングテーマ,米津玄師 ピースサイン
問題21,10年代J-POP,../../../../audio/GO.mp3,テレビアニメ『GRANBLUE FANTASY The Animation』にオープニングテーマとして提供,BUNP OF CHICHEN GO
問題22,10年代J-POP,../../../../audio/Hello world!.mp3,テレビアニメ『血界戦線』の第1期オープニングテーマworld
問題23,10年代J-POP,../../../../audio/ray.mp3,初音ミクとのコラボレーション楽曲,BUNP OF CHICHEN ray
問題24,10年代J-POP,../../../../audio/CheerS.mp3,テレビアニメ『はたらく細胞』のエンディングテーマ,ClariS Cheers
問題25,10年代J-POP,../../../../audio/カラフル.mp3,アニメーション映画『劇場版 魔法少女まどか☆マギカ[新編]叛逆の物語』オープニングテーマ,ClariS カラフル
問題26,10年代J-POP,../../../../audio/コネクト.mp3,テレビアニメ『魔法少女まどか☆マギカ』オープニングテーマ 最近ではMAD動画でも話題に,ClariS コネクト
問題27,10年代J-POP,../../../../audio/シュガーソングとビターステップ.mp3,UHFアニメ『血界戦線』エンディングテーマ,UNISON SQUARE GARDEN シュガーソングとビターステップ
問題28,10年代J-POP,../../../../audio/レイン.mp3,アニメ『鋼の錬金術師 FULLMETAL ALCHEMIST』最終期オープニングテーマ,シド レイン
問題29,10年代J-POP,../../../../audio/平行線.mp3,アニメ・ドラマの『クズの本懐』のエンディングテーマ,さユり 平行線
問題30,10年代J-POP,../../../../audio/INNOCENCE.mp3,テレビアニメ『ソードアート・オンライン』フェアリィ・ダンス編のオープニングテーマ,蒼井エイル INNOCENCE
問題31,10年代J-POP,../../../../audio/MEMORIA.mp3,テレビアニメ『Fate/Zero』のエンディングテーマ,蒼井エイル MEMORIA
問題32,10年代J-POP,../../../../audio/This game.mp3,テレビアニメ『ノーゲーム・ノーライフ』のオープニングテーマ,鈴木このみ This game
